"Year","Dataset","Population"
1992,"Americans Born in Australia",44872
1992,"Australians Born in USA",46006.6
1993,"Americans Born in Australia",46036
1993,"Australians Born in USA",47876.4
1994,"Americans Born in Australia",47200
1994,"Australians Born in USA",49746.2
1995,"Americans Born in Australia",48364
1995,"Australians Born in USA",51616
1996,"Americans Born in Australia",49528
1996,"Australians Born in USA",53485.8
1997,"Americans Born in Australia",57630
1997,"Australians Born in USA",55355.6
1998,"Americans Born in Australia",58400
1998,"Australians Born in USA",57225.4
1999,"Americans Born in Australia",58850
1999,"Australians Born in USA",59095.2
2000,"Americans Born in Australia",59690
2000,"Australians Born in USA",60965
2001,"Americans Born in Australia",60780
2001,"Australians Born in USA",61785.16667
2002,"Americans Born in Australia",62890
2002,"Australians Born in USA",62605.33333
2003,"Americans Born in Australia",65350
2003,"Australians Born in USA",63425.5
2004,"Americans Born in Australia",67510
2004,"Australians Born in USA",64245.66667
2005,"Americans Born in Australia",70520
2005,"Australians Born in USA",65065.83333
2006,"Americans Born in Australia",74670
2006,"Australians Born in USA",65886
2007,"Americans Born in Australia",78930
2007,"Australians Born in USA",70889
2008,"Americans Born in Australia",80730
2008,"Australians Born in USA",76129
2009,"Americans Born in Australia",82200
2009,"Australians Born in USA",70842
2010,"Americans Born in Australia",85330
2010,"Australians Born in USA",71535
2011,"Americans Born in Australia",90090
2011,"Australians Born in USA",68517
2012,"Americans Born in Australia",96710
2012,"Australians Born in USA",84534
2013,"Americans Born in Australia",100810
2013,"Australians Born in USA",78797
2014,"Americans Born in Australia",102690
2014,"Australians Born in USA",84368
2015,"Americans Born in Australia",104650
2015,"Australians Born in USA",83573
2016,"Americans Born in Australia",105750
2016,"Australians Born in USA",93179
2017,"Americans Born in Australia",108830
2017,"Australians Born in USA",93519
2018,"Americans Born in Australia",110090
2018,"Australians Born in USA",90587
2019,"Americans Born in Australia",111040
2019,"Australians Born in USA",98969
2020,"Americans Born in Australia",113170
2020,"Australians Born in USA",98392
2021,"Americans Born in Australia",90090
2021,"Australians Born in USA",97815
