"","Australia.Exports","Australia.Imports","Australia.GDP","Australia.Inflation.Rate","Australia.Unemployment.Rate","ASX200.Return","USA.Exports","USA.Imports","USA.GDP","USA.Inflation.Rate","USA.Unemployment.Rate","SP500.Return"
"Australia.Exports",1,0.921676793457985,-0.364372110220975,0.286829642127505,-0.825316304602674,-0.295067095808866,0.897911346339268,0.977541384015681,-0.391197372151597,0.168581232814673,-0.0305303077791434,0.179769399388641
"Australia.Imports",0.921676793457985,1,-0.236069134357958,0.291961225391078,-0.797204110782187,-0.238251616885225,0.986159064905303,0.924711698784372,-0.26755382312373,0.220595044211263,-0.0107945866715968,0.0505875765024347
"Australia.GDP",-0.364372110220975,-0.236069134357958,1,0.203192170266785,0.0377304837934664,0.0222230350363511,-0.277995045779117,-0.331396106718823,0.480278779924994,0.273837025955179,-0.413519215863147,0.139971004721039
"Australia.Inflation.Rate",0.286829642127505,0.291961225391078,0.203192170266785,1,-0.432862724757232,-0.26327479449654,0.238245174897398,0.345072791384124,-0.0802397262090324,0.691408560894997,-0.255887859207731,0.422335657268349
"Australia.Unemployment.Rate",-0.825316304602674,-0.797204110782187,0.0377304837934664,-0.432862724757232,1,0.204323581878503,-0.744817087676163,-0.789945459042868,0.262268223566297,-0.19744467901728,0.17353260246704,-0.205585844875775
"ASX200.Return",-0.295067095808866,-0.238251616885225,0.0222230350363511,-0.26327479449654,0.204323581878503,1,-0.216118520487886,-0.272726434231622,0.13674295248411,-0.205078057948111,-0.00215282909164037,-0.730340814648297
"USA.Exports",0.897911346339268,0.986159064905303,-0.277995045779117,0.238245174897398,-0.744817087676163,-0.216118520487886,1,0.898472923405348,-0.275588993277269,0.132302201927538,0.0387646251734284,0.0187016736927409
"USA.Imports",0.977541384015681,0.924711698784372,-0.331396106718823,0.345072791384124,-0.789945459042868,-0.272726434231622,0.898472923405348,1,-0.367715260944216,0.274598061372319,-0.101774073307325,0.162461708507005
"USA.GDP",-0.391197372151597,-0.26755382312373,0.480278779924994,-0.0802397262090324,0.262268223566297,0.13674295248411,-0.275588993277269,-0.367715260944216,1,0.282575047049405,-0.445182143667016,-0.267664703074118
"USA.Inflation.Rate",0.168581232814673,0.220595044211263,0.273837025955179,0.691408560894997,-0.19744467901728,-0.205078057948111,0.132302201927538,0.274598061372319,0.282575047049405,1,-0.39265362868759,0.331619420632505
"USA.Unemployment.Rate",-0.0305303077791434,-0.0107945866715968,-0.413519215863147,-0.255887859207731,0.17353260246704,-0.00215282909164037,0.0387646251734284,-0.101774073307325,-0.445182143667016,-0.39265362868759,1,-0.0772519210688518
"SP500.Return",0.179769399388641,0.0505875765024347,0.139971004721039,0.422335657268349,-0.205585844875775,-0.730340814648297,0.0187016736927409,0.162461708507005,-0.267664703074118,0.331619420632505,-0.0772519210688518,1
